config_id,config_name,total_cost_usd,total_read,total_write_5m,total_write_1h,total_input,total_output,savings_pct,amplitude
01,BASELINE SANS CACHE,0.229211,0,0,0,218001,2242,0.0,0.00308400
02,CACHING AUTOMATIQUE,0.058632,196045,22242,0,30,2239,74.4,0.02383000
03,SUFFIXE EXTREMEMENT VARIABLE,0.28371125,0,218189,0,30,2189,-23.89,0.00341375
04,SUFFIXE MOYENEMENT VARIABLE,0.15474875,107275,108249,0,30,1736,32.42,0.02645455
05,BREAKPOINT EXPLICITE (SUFFIXE EXTREMEMENT VARIABLE),0.0658945,187470,20830,0,9790,2264,71.23,0.02382350
06,BREAKPOINT EXPLICITE (SUFFIXE MOYENEMENT VARIABLE),0.0605622,187452,20828,0,7257,1705,73.55,0.02387820
07,BREAKPOINT EXPLICITE (SUFFIXE STABLE),0.0648775,187470,20830,0,9413,2136,71.67,0.02398150
08,MELANGE TTL (SUFFIXE EXTREMEMENT VARIABLE),0.0823088,189708,8096,20829,30,2306,64.06,0.03950010
09,MELANGE TTL (SUFFIXE MOYENEMENT VARIABLE),0.07784405,191418,5181,20828,30,2108,66.01,0.03947440
10,MELANGE TTL (SUFFIXE STABLE),0.07496015,194939,2137,20830,30,2221,67.27,0.03959135
11,INVALIDATION PAR MODIFICATION DU SYSTEM,0.08116095,172322,43659,0,30,1865,64.56,0.02476385
12,MELANGE TTL ET INVALIDATION PAR MODIFICATION DU SYSTEM,0.1146837,174262,2278,41685,30,2202,49.92,0.04094730
13,EXPIRATION DU TTL 5 MINUTES,0.0851929,174829,44396,0,30,2437,62.8,0.02512020
14,MELANGE TTL ET EXPIRATION DU TTL 5 MINUTES,0.0752565,194615,2416,20830,30,2217,67.14,0.03951510
15,PRE-WARMING : CACHE 1H CHAUFFÉ AVANT LE PREMIER UTILISATEUR,0.07602325,214975,1983,20830,37,2070,66.8,0.00158685
